DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
831,19031218,    0,     ,
831,19031219,    0,     ,
831,19031220,    3,     ,
831,19031221,    0,     ,
831,19031222,    0,     ,
831,19031223,    0,     ,
831,19031224,    0,     ,
831,19031225,    0,     ,
831,19031226,    0,     ,
831,19031227,    0,     ,
831,19031228,    0,     ,
831,19031229,    0,     ,
831,19031230,    0,     ,
831,19031231,    0,     ,
831,19040101,    0,     ,
831,19040102,    0,     ,
831,19040103,    0,     ,
831,19040104,    0,     ,
831,19040105,    0,     ,
831,19040106,    0,     ,
831,19040107,    0,     ,
831,19040108,   76,     ,
831,19040109,  140,     ,
831,19040110,    8,     ,
831,19040111,   13,     ,
831,19040112,    0,     ,
831,19040113,  122,     ,
831,19040114,   60,     ,
831,19040115,   30,     ,
831,19040116,    8,     ,
831,19040117,   54,     ,
831,19040118,   21,     ,
831,19040119,    0,     ,
831,19040120,    0,     ,
831,19040121,    0,     ,
831,19040122,    0,     ,
831,19040123,    0,     ,
831,19040124,    0,     ,
831,19040125,    0,     ,
831,19040126,    0,     ,
831,19040127,    0,     ,
831,19040128,    0,     ,
831,19040129,   14,     ,
831,19040130,    0,     ,
831,19040131,    0,     ,
831,19040201,    5,     ,
831,19040202,    0,     ,
831,19040203,   48,     ,
831,19040204,    0,     ,
831,19040205,    0,     ,
831,19040206,    0,     ,
831,19040207,   12,     ,
831,19040208,   20,     ,
831,19040209,   72,     ,
831,19040210,   81,     ,
831,19040211,   54,     ,
831,19040212,   31,     ,
831,19040213,   15,     ,
831,19040214,    7,     ,
831,19040215,   77,     ,
831,19040216,   12,     ,
831,19040217,   31,     ,
831,19040218,   24,     ,
831,19040219,    3,     ,
831,19040220,   19,     ,
831,19040221,   67,     ,
831,19040222,   43,     ,
831,19040223,   24,     ,
831,19040224,    0,     ,
831,19040225,    0,     ,
831,19040226,    0,     ,
831,19040227,    0,     ,
831,19040228,    0,     ,
831,19040229,    0,     ,
831,19040301,    0,     ,
831,19040302,    8,     ,
831,19040303,   32,     ,
831,19040304,    0,     ,
831,19040305,    0,     ,
831,19040306,    0,     ,
831,19040307,   17,     ,
831,19040308,   14,     ,
831,19040309,    0,     ,
831,19040310,    4,     ,
831,19040311,   65,     ,
831,19040312,    0,     ,
831,19040313,    0,     ,
831,19040314,    0,     ,
831,19040315,    0,     ,
831,19040316,   14,     ,
831,19040317,    2,     ,
831,19040318,    0,     ,
831,19040319,    0,     ,
831,19040320,    0,     ,
831,19040321,    0,     ,
831,19040322,    0,     ,
831,19040323,   56,     ,
831,19040324,    8,     ,
831,19040325,    0,     ,
831,19040326,    0,     ,
831,19040327,   25,     ,
831,19040328,    0,     ,
831,19040329,    0,     ,
831,19040330,  117,     ,
831,19040331,   44,     ,
831,19040401,   38,     ,
831,19040402,    0,     ,
831,19040403,    0,     ,
831,19040404,   17,     ,
831,19040405,    0,     ,
831,19040406,   10,     ,
831,19040407,   23,     ,
831,19040408,   11,     ,
831,19040409,    0,     ,
831,19040410,   13,     ,
831,19040411,    0,     ,
831,19040412,    0,     ,
831,19040413,    8,     ,
831,19040414,    0,     ,
831,19040415,    0,     ,
831,19040416,   14,     ,
831,19040417,   27,     ,
831,19040418,    0,     ,
831,19040419,    0,     ,
831,19040420,    0,     ,
831,19040421,    0,     ,
831,19040422,    0,     ,
831,19040423,    0,     ,
831,19040424,    0,     ,
831,19040425,    0,     ,
831,19040426,    0,     ,
831,19040427,    0,     ,
831,19040428,    0,     ,
